PWMFlankingScore,Label
-16671.81786254948,1
-15260.383015637732,1
-15104.839890140669,1
-15573.674810972787,1
-17055.075305598682,1
-17761.85115456366,1
-16611.7587647815,1
-17990.508008909772,1
-14675.3463790234,1
-15749.191949750752,1
-16209.813373580806,1
-16144.44191604561,1
-18126.182880169054,1
-17145.741521746022,1
-15963.393002888139,1
-17519.917235687335,1
-16109.442430128865,1
-17001.18750931223,1
-15946.561677441392,1
-16456.302162279488,1
-16753.648897759555,1
-20138.338477068326,1
-16954.653499651315,1
-18850.19905104951,1
-18850.19905104951,1
-17397.068988384486,1
-16423.622844368936,1
-17819.570053897336,1
-14127.36965220546,1
-16074.523350038338,1
-15106.2119596134,1
-18287.85567091466,1
-20256.53080110667,1
-18064.308962699084,1
-18064.308962699084,1
-15623.639158291362,1
-16618.0351392595,1
-18275.72893288562,1
-13346.141807587306,1
-16223.542785900754,1
-14656.364280432468,1
-14656.364280432468,1
-15530.270939845695,1
-17285.65833794187,1
-15831.105155928552,1
-15562.977654843971,1
-16146.700678616215,1
-16016.889696334769,1
-15752.314923379545,1
-16590.149620680273,1
-14280.882502174843,1
-14540.360506819248,1
-16623.425194557443,1
-15149.529848938333,1
-15919.54808815376,1
-15753.971468835161,1
-15455.45445354603,1
-15602.80172611282,1
-16999.862741528923,1
-18674.567096338484,1
-18674.567096338484,1
-15400.978960584993,1
-17097.555215155873,1
-16637.657419915227,1
-16904.694825486236,1
-15716.005942866497,1
-16186.758046103816,1
-15158.068970998731,1
-15164.778389884752,1
-16812.55324918651,1
-15656.162680810723,1
-15091.57978062331,1
-14453.020220890092,1
-14457.914797735562,1
-15815.419051632469,1
-15815.419051632469,1
-17414.881578283086,1
-15657.534425983768,1
-15657.534425983768,1
-15657.534425983768,1
-14464.270138321956,1
-14464.270138321956,1
-15420.283444788864,1
-15452.701873543874,1
-15108.720496480579,1
-17002.977496685413,1
-15569.50427020328,1
-14581.330846733457,1
-15147.44806756522,1
-16150.868859882461,1
-15983.266758877406,1
-14744.329148056604,1
-15394.799112508415,1
-15394.799112508415,1
-18255.483064822125,1
-17470.02985394909,1
-15300.128412457889,1
-15300.128412457889,1
-15300.128412457889,1
-16225.879600191167,1
-15003.656725559511,1
-14689.095873278673,1
-16733.46230960739,1
0.0,1
-16169.583281056055,1
-16221.439620164638,1
-15482.53919432545,1
-15548.188223552044,1
-17399.91722251514,1
-18096.37542506781,1
-18740.372048944042,1
-15670.63840943173,1
-15670.63840943173,1
-15481.45482631337,1
-15789.902501719956,1
-18448.769002323887,1
-18448.769002323887,1
-18448.769002323887,1
-18035.78330783258,1
-17687.109100561232,1
-17687.109100561232,1
-18462.239816265483,1
-17599.462912304785,1
-17599.462912304785,1
-16254.63466640718,1
-16722.357163194978,1
-16472.22676210866,1
-15287.767072415007,1
-15302.926279225965,1
-15261.754305744038,1
-15256.552649492709,1
-15925.553751810881,1
-16209.988274324138,1
-16209.988274324138,1
-15686.56287480492,1
-15020.163392056726,1
-16530.16342523641,1
-15437.789437002526,1
-15287.846265851987,1
-15641.53302583535,1
-14242.06371398461,1
-17444.695015218207,1
-17379.269323837467,1
-15038.480264558922,1
-15040.713624436048,1
-15038.691093052585,1
-14781.104258787744,1
-15706.727265813672,1
-17387.3003949838,1
-17387.3003949838,1
-15497.715207032657,1
-15835.475823551387,1
-15169.788944439762,1
-15610.040452059768,1
-16877.658064107913,1
-15466.748836347557,1
-15466.748836347557,1
-16004.13478839922,1
-16004.13478839922,1
-15965.115278695974,1
-16078.967829165711,1
-16078.967829165711,1
-15127.952149861283,1
-14224.042372808928,1
-14224.042372808928,1
-14115.085136849331,1
-14115.085136849331,1
-18669.94108535824,1
-17371.019451562574,1
-17393.850893406143,1
-17572.57050665704,1
-15334.824500692339,1
-17967.736755528946,1
-17263.75688533742,1
-16831.771448975745,1
-17100.784938560846,1
-17100.784938560846,1
-17273.891562588873,1
-17444.15453528096,1
-16947.366559755767,1
-16801.915773786754,1
-17769.960637052438,1
-14126.20106853962,1
-17785.102891096754,1
