DeltaSVMScore,PWMFlankingScore,Label
-2.775927,-180608.6613,1
-0.277366,-163746.5898,1
-0.887267,-163793.7762,1
4.375293,-167292.1024,1
-0.338714,-174321.2296,1
-1.550037,-187149.6512,1
1.953462,-182377.7664,1
-0.073009,-177705.7682,1
0.829025,-176970.788,1
-0.999837,-171154.2052,1
-0.224538,-168854.5033,1
0.23049,-176161.5108,1
-0.864258,-178210.3746,1
2.628259,-172315.4448,1
0.208039,-183578.7854,1
-2.477823,-178310.8704,1
-0.128286,-174386.3285,1
-0.695592,-175012.5718,1
-3.594948,-172412.8752,1
-0.92305,-174841.9927,1
2.474157,-177301.8088,1
0.643341,-187453.8118,1
0.604197,-176177.6207,1
4.972581,-177257.7823,1
4.972581,-177257.7823,1
-3.62864,-171648.679,1
-0.460276,-174768.27,1
-0.148286,-174242.4213,1
-2.187213,-176240.1975,1
-3.795716,-168569.204,1
2.720082,-172083.87,1
0.443702,-176564.3896,1
-0.058394,-187675.3409,1
2.74177,-179288.0907,1
2.74177,-179288.0907,1
-0.652982,-175857.0435,1
0.140779,-174835.0983,1
14.787351,-182067.7462,1
-0.508849,-163112.1149,1
0.095862,-169081.2141,1
6.992027,-175954.0594,1
6.992027,-175954.0594,1
-0.521709,-173140.3013,1
4.06764,-183467.9121,1
-0.154921,-165269.3649,1
-0.500942,-164978.8491,1
1.088309,-174945.2497,1
-1.890811,-169640.1449,1
-11.501283,-169643.8489,1
-4.03343,-175408.0926,1
-1.020907,-167851.759,1
-1.389127,-163417.0849,1
1.11255,-171284.9594,1
-0.895986,-163439.6372,1
0.172761,-167869.2465,1
2.039826,-170973.6866,1
0.403652,-161364.5547,1
0.634139,-165974.1885,1
0.148232,-166195.6921,1
6.005696,-177886.6676,1
6.005696,-177886.6676,1
1.288589,-175479.004,1
0.433324,-182985.1895,1
-0.941416,-171416.0191,1
-1.742995,-166033.43,1
-0.159594,-165947.0865,1
0.199315,-173868.1985,1
0.733297,-163625.3897,1
-1.839319,-163594.0026,1
-0.437548,-163955.7707,1
-0.539768,-161258.1472,1
-10.835233,-163972.7734,1
0.687397,-152338.3347,1
0.33416,-161904.5819,1
-0.787494,-169713.9755,1
-0.787494,-169713.9755,1
0.86075,-156127.9473,1
-3.986111,-162256.2067,1
-3.986111,-162256.2067,1
-3.986111,-162256.2067,1
-11.619178,-156720.8635,1
-11.619178,-156720.8635,1
0.683539,-160471.8899,1
0.714648,-160549.2413,1
-0.078469,-160320.7991,1
0.348118,-164232.8851,1
-0.471886,-164692.8096,1
-3.873231,-161899.5927,1
-1.948201,-155824.2198,1
-1.186164,-175112.525,1
2.810986,-162122.3377,1
-0.22378,-165273.1567,1
8.757739,-170875.1432,1
8.757739,-170875.1432,1
-6.256827,-167628.2118,1
-0.905508,-175083.687,1
-5.493884,-164290.0597,1
-5.493884,-164290.0597,1
-5.493884,-164290.0597,1
0.516382,-165481.7696,1
0.107343,-163511.2821,1
0.979346,-163263.8094,1
-0.124227,-174654.5575,1
0.892688,-119752.6299,1
-2.11936,-169689.7817,1
0.347351,-169680.2998,1
0.082237,-165784.5665,1
-1.965954,-166892.8141,1
0.718193,-165580.0186,1
6.840031,-180293.0147,1
0.344826,-173625.5151,1
6.211718,-168064.9959,1
6.211718,-168064.9959,1
0.566385,-168254.8889,1
-1.342916,-156131.8956,1
-11.841779,-178252.6206,1
-11.841779,-178252.6206,1
-11.841779,-178252.6206,1
0.412024,-177666.6599,1
-4.125403,-173246.1753,1
-4.125403,-173246.1753,1
-0.248647,-186574.0417,1
8.390147,-177830.6491,1
8.390147,-177830.6491,1
-0.786705,-165521.9663,1
-0.440659,-175949.6159,1
-1.352613,-162040.3149,1
0.289631,-160499.3851,1
1.402921,-168741.3084,1
1.01823,-168689.9297,1
-8.493429,-163826.2861,1
0.006814,-159242.925,1
13.909872,-177147.2554,1
13.909872,-177147.2554,1
0.061678,-162917.9295,1
7.471296,-163199.0545,1
-0.433491,-177610.8959,1
0.183339,-155835.1566,1
-0.948313,-164019.4065,1
-0.735423,-162360.5046,1
-0.677877,-170515.1151,1
0.301523,-170247.274,1
1.022239,-169982.3231,1
0.173264,-155678.7525,1
1.551817,-155667.8725,1
0.276784,-155604.9948,1
-1.085849,-149970.6432,1
1.398704,-160118.3128,1
4.626493,-166510.5157,1
4.626493,-166510.5157,1
2.265128,-171777.293,1
1.010012,-167694.5728,1
1.821464,-165632.1938,1
-2.705225,-169930.8307,1
-1.52976,-170817.6521,1
1.225891,-166529.9245,1
1.225891,-166529.9245,1
-1.889342,-166605.9517,1
-1.889342,-166605.9517,1
1.105957,-179079.5375,1
-4.058215,-168055.6758,1
-4.058215,-168055.6758,1
2.73825,-161827.6899,1
0.706398,-159823.7371,1
0.706398,-159823.7371,1
-6.884072,-159906.3981,1
-6.884072,-159906.3981,1
-1.775358,-170364.4031,1
-0.728849,-176148.4012,1
-4.184115,-170632.1335,1
-1.215474,-170956.5356,1
-0.464557,-178382.5277,1
2.032537,-183503.4964,1
0.352929,-177435.1455,1
-0.148458,-175671.363,1
4.365767,-170236.5369,1
4.365767,-170236.5369,1
-0.224983,-181152.3641,1
-2.845538,-174636.5062,1
0.614078,-167677.2657,1
-2.219837,-168905.241,1
-4.370719,-164539.4404,1
-0.071926,-159692.062,1
-5.797972,-175269.5154,1
-5.797972,-175269.5154,1
4.50336,-113683.71,1
-3.971323,-113736.9779,1
-3.971323,-113736.9779,1
1.227926,-180630.3886,1
1.188245,-177405.1271,1
1.930936,-177786.2341,1
0.497923,-159181.5819,1
1.112472,-160394.1987,1
1.124944,-157296.3198,1
0.221659,-175124.3022,1
-2.891942,-160079.8742,1
0.677065,-153569.9942,1
0.406024,-180983.0025,1
0.9327,-167133.7868,1
-4.575302,-160561.6049,1
0.754311,-160521.993,1
0.446243,-180164.7726,1
2.270507,-160548.5099,1
0.552004,-186662.6488,1
9.11355,-165233.9914,1
-0.937943,-165283.9769,1
1.54626,-165463.2433,1
-0.753628,-165572.7437,1
-6.344352,-202594.0145,1
-2.887957,-175605.7055,0
2.100773,-193135.63,0
-1.839305,-185552.9666,0
-1.247835,-182988.5975,0
-14.14241,-183441.7556,1
0,-184317.0027,1
0,-178490.5524,0
-3.135593,-183373.8374,1
0,-190900.3085,0
0,-180694.6384,0
-2.527269,-164947.6705,0
0,-166843.8162,0
-5.731905,-193343.7197,1
0,-169369.5344,0
1.645784,-185385.1014,0
0,-187126.8294,0
0.331381,-165065.6622,0
0.211852,-182642.9971,0
0,-171641.3736,0
1.855678,-170497.587,0
-1.993069,-182540.1202,0
-3.279372,-181134.218,1
0,-172076.1895,0
0.904204,-183492.2102,0
-4.299638,-181492.7077,0
-0.680498,-186677.0309,0
0.963999,-171717.4034,0
1.035868,-173153.7251,0
0,-183530.8582,1
0,-172646.6291,1
1.612913,-176555.5723,0
-0.630018,-179297.9248,0
0,-177532.4717,0
-1.102089,-173837.2856,0
-0.714345,-163301.8166,0
0,-158596.2714,0
0,-172414.2576,1
-0.6513,-171002.5689,0
0,-166146.0679,0
9.549837,-187468.4986,1
0,-178906.8496,0
0,-176229.6277,0
0,-166397.8309,0
-2.88334,-181333.6577,1
-0.376802,-173711.6143,0
0.258365,-174779.6881,1
-2.230038,-175205.6129,0
-0.224625,-169242.6517,0
0,-178046.297,0
0,-177460.2833,0
-1.101921,-187196.0518,0
0,-180681.3543,0
-2.085742,-172382.7137,0
-0.652369,-174168.5869,0
0.638583,-169694.6492,0
-1.256788,-172433.948,1
0,-164893.1799,1
-0.518865,-168540.3268,0
-1.380499,-173251.7578,0
0.086073,-172143.2503,0
-0.778589,-175794.6382,0
0,-169853.3005,0
0,-183270.4532,0
1.438414,-184797.9829,0
0.024215,-169656.8896,0
-10.847931,-165414.0036,1
0,-170391.4107,0
0.12861,-169000.6888,0
-1.249017,-167170.1884,0
-0.043555,-182854.2044,1
0.834254,-178260.0147,0
0,-175445.4138,1
0.060245,-165925.8346,0
-1.211922,-169033.8169,1
2.320847,-176685.3802,0
0,-162348.9006,0
0.562557,-167600.8365,0
-9.76465,-172682.2721,1
0.891979,-168542.8139,0
0.780127,-174126.5659,0
1.123577,-171460.7085,0
-1.566599,-171532.4149,0
-9.169351,-177395.1325,0
1.725686,-170459.0357,0
-0.348178,-163167.2006,0
1.505701,-172179.0504,0
-0.000909,-167489.078,0
-1.374881,-172712.2863,0
-1.00649,-167722.3385,0
0,-183113.3107,0
