DeltaSVMScore,PWMFlankingScore,Label
-2.775927,-16671.81786,1
-0.277366,-15260.38302,1
-0.887267,-15104.83989,1
4.375293,-15573.67481,1
-0.338714,-17055.07531,1
-1.550037,-17761.85115,1
1.953462,-16611.75876,1
-0.073009,-17990.50801,1
0.829025,-14675.34638,1
-0.999837,-15749.19195,1
-0.224538,-16209.81337,1
0.23049,-16144.44192,1
-0.864258,-18126.18288,1
2.628259,-17145.74152,1
0.208039,-15963.393,1
-2.477823,-17519.91724,1
-0.128286,-16109.44243,1
-0.695592,-17001.18751,1
-3.594948,-15946.56168,1
-0.92305,-16456.30216,1
2.474157,-16753.6489,1
0.643341,-20138.33848,1
0.604197,-16954.6535,1
4.972581,-18850.19905,1
4.972581,-18850.19905,1
-3.62864,-17397.06899,1
-0.460276,-16423.62284,1
-0.148286,-17819.57005,1
-2.187213,-14127.36965,1
-3.795716,-16074.52335,1
2.720082,-15106.21196,1
0.443702,-18287.85567,1
-0.058394,-20256.5308,1
2.74177,-18064.30896,1
2.74177,-18064.30896,1
-0.652982,-15623.63916,1
0.140779,-16618.03514,1
14.787351,-18275.72893,1
-0.508849,-13346.14181,1
0.095862,-16223.54279,1
6.992027,-14656.36428,1
6.992027,-14656.36428,1
-0.521709,-15530.27094,1
4.06764,-17285.65834,1
-0.154921,-15831.10516,1
-0.500942,-15562.97765,1
1.088309,-16146.70068,1
-1.890811,-16016.8897,1
-11.501283,-15752.31492,1
-4.03343,-16590.14962,1
-1.020907,-14280.8825,1
-1.389127,-14540.36051,1
1.11255,-16623.42519,1
-0.895986,-15149.52985,1
0.172761,-15919.54809,1
2.039826,-15753.97147,1
0.403652,-15455.45445,1
0.634139,-15602.80173,1
0.148232,-16999.86274,1
6.005696,-18674.5671,1
6.005696,-18674.5671,1
1.288589,-15400.97896,1
0.433324,-17097.55522,1
-0.941416,-16637.65742,1
-1.742995,-16904.69483,1
-0.159594,-15716.00594,1
0.199315,-16186.75805,1
0.733297,-15158.06897,1
-1.839319,-15164.77839,1
-0.437548,-16812.55325,1
-0.539768,-15656.16268,1
-10.835233,-15091.57978,1
0.687397,-14453.02022,1
0.33416,-14457.9148,1
-0.787494,-15815.41905,1
-0.787494,-15815.41905,1
0.86075,-17414.88158,1
-3.986111,-15657.53443,1
-3.986111,-15657.53443,1
-3.986111,-15657.53443,1
-11.619178,-14464.27014,1
-11.619178,-14464.27014,1
0.683539,-15420.28344,1
0.714648,-15452.70187,1
-0.078469,-15108.7205,1
0.348118,-17002.9775,1
-0.471886,-15569.50427,1
-3.873231,-14581.33085,1
-1.948201,-15147.44807,1
-1.186164,-16150.86886,1
2.810986,-15983.26676,1
-0.22378,-14744.32915,1
8.757739,-15394.79911,1
8.757739,-15394.79911,1
-6.256827,-18255.48306,1
-0.905508,-17470.02985,1
-5.493884,-15300.12841,1
-5.493884,-15300.12841,1
-5.493884,-15300.12841,1
0.516382,-16225.8796,1
0.107343,-15003.65673,1
0.979346,-14689.09587,1
-0.124227,-16733.46231,1
0.892688,0,1
-2.11936,-16169.58328,1
0.347351,-16221.43962,1
0.082237,-15482.53919,1
-1.965954,-15548.18822,1
0.718193,-17399.91722,1
6.840031,-18096.37543,1
0.344826,-18740.37205,1
6.211718,-15670.63841,1
6.211718,-15670.63841,1
0.566385,-15481.45483,1
-1.342916,-15789.9025,1
-11.841779,-18448.769,1
-11.841779,-18448.769,1
-11.841779,-18448.769,1
0.412024,-18035.78331,1
-4.125403,-17687.1091,1
-4.125403,-17687.1091,1
-0.248647,-18462.23982,1
8.390147,-17599.46291,1
8.390147,-17599.46291,1
-0.786705,-16254.63467,1
-0.440659,-16722.35716,1
-1.352613,-16472.22676,1
0.289631,-15287.76707,1
1.402921,-15302.92628,1
1.01823,-15261.75431,1
-8.493429,-15256.55265,1
0.006814,-15925.55375,1
13.909872,-16209.98827,1
13.909872,-16209.98827,1
0.061678,-15686.56287,1
7.471296,-15020.16339,1
-0.433491,-16530.16343,1
0.183339,-15437.78944,1
-0.948313,-15287.84627,1
-0.735423,-15641.53303,1
-0.677877,-14242.06371,1
0.301523,-17444.69502,1
1.022239,-17379.26932,1
0.173264,-15038.48026,1
1.551817,-15040.71362,1
0.276784,-15038.69109,1
-1.085849,-14781.10426,1
1.398704,-15706.72727,1
4.626493,-17387.30039,1
4.626493,-17387.30039,1
2.265128,-15497.71521,1
1.010012,-15835.47582,1
1.821464,-15169.78894,1
-2.705225,-15610.04045,1
-1.52976,-16877.65806,1
1.225891,-15466.74884,1
1.225891,-15466.74884,1
-1.889342,-16004.13479,1
-1.889342,-16004.13479,1
1.105957,-15965.11528,1
-4.058215,-16078.96783,1
-4.058215,-16078.96783,1
2.73825,-15127.95215,1
0.706398,-14224.04237,1
0.706398,-14224.04237,1
-6.884072,-14115.08514,1
-6.884072,-14115.08514,1
-1.775358,-18669.94109,1
-0.728849,-17371.01945,1
-4.184115,-17393.85089,1
-1.215474,-17572.57051,1
-0.464557,-15334.8245,1
2.032537,-17967.73676,1
0.352929,-17263.75689,1
-0.148458,-16831.77145,1
4.365767,-17100.78494,1
4.365767,-17100.78494,1
-0.224983,-17273.89156,1
-2.845538,-17444.15454,1
0.614078,-16947.36656,1
-2.219837,-16801.91577,1
-4.370719,-17769.96064,1
-0.071926,-14126.20107,1
-5.797972,-17785.10289,1
-5.797972,-17785.10289,1
4.50336,0,1
-3.971323,0,1
-3.971323,0,1
1.227926,-16723.85427,1
1.188245,-16664.53676,1
1.930936,-16543.36971,1
0.497923,-14999.59094,1
1.112472,-15287.48367,1
1.124944,-15307.51889,1
0.221659,-16246.52943,1
-2.891942,-16413.3522,1
0.677065,-15084.19964,1
0.406024,-17515.07197,1
0.9327,-17045.09093,1
-4.575302,-15179.27114,1
0.754311,-15068.54362,1
0.446243,-15894.14757,1
2.270507,-15670.67294,1
0.552004,-17640.85374,1
9.11355,-14569.28377,1
-0.937943,-14607.02596,1
1.54626,-14739.45073,1
-0.753628,-14772.91858,1
-6.344352,-18599.75536,1
-2.887957,-16592.20061,0
2.100773,-17845.05399,0
-1.839305,-17118.00954,0
-1.247835,-17524.78018,0
-14.14241,-16920.42818,1
0,-17062.21413,1
0,-15617.04336,0
-3.135593,-17620.02283,1
0,-17150.23778,0
0,-17848.04929,0
-2.527269,-14941.62051,0
0,-16089.94675,0
-5.731905,-18588.05166,1
0,-15454.72864,0
1.645784,-18162.62695,0
0,-17891.89034,0
0.331381,-14319.26092,0
0.211852,-17307.36599,0
0,-16480.14255,0
1.855678,-16469.83561,0
-1.993069,-16917.59729,0
-3.279372,-16448.76146,1
0,-16199.92594,0
0.904204,-16935.26946,0
-4.299638,-17060.41473,0
-0.680498,-17104.5078,0
0.963999,-15756.00051,0
1.035868,-15764.46239,0
0,-15907.49441,1
0,-17415.67429,1
1.612913,-18164.22552,0
-0.630018,-17335.53683,0
0,-17459.61933,0
-1.102089,-17110.79125,0
-0.714345,-15085.77724,0
0,-15516.0181,0
0,-15994.81817,1
-0.6513,-16826.04203,0
0,-16274.80066,0
9.549837,-20146.76312,1
0,-15311.53677,0
0,-17138.61165,0
0,-14967.27245,0
-2.88334,-16615.10625,1
-0.376802,-17466.62642,0
0.258365,-16410.99197,1
-2.230038,-17976.49253,0
-0.224625,-16727.22174,0
0,-16132.36457,0
0,-15785.97161,0
-1.101921,-17781.28997,0
0,-17869.47542,0
-2.085742,-16498.57391,0
-0.652369,-16937.44708,0
0.638583,-17083.77086,0
-1.256788,-16283.20321,1
0,-15300.54091,1
-0.518865,-15872.60737,0
-1.380499,-17948.60862,0
0.086073,-16868.29516,0
-0.778589,-17201.81629,0
0,-17841.72651,0
0,-17392.00005,0
1.438414,-16189.49405,0
0.024215,-17422.50853,0
-10.847931,-16922.65839,1
0,-16188.34889,0
0.12861,-16686.92319,0
-1.249017,-17280.10593,0
-0.043555,-17048.93876,1
0.834254,-16314.1198,0
0,-16086.65258,1
0.060245,-15881.43296,0
-1.211922,-16098.00339,1
2.320847,-16334.92155,0
0,-16519.98848,0
0.562557,-16983.49523,0
-9.76465,-16753.16646,1
0.891979,-15218.1528,0
0.780127,-15759.45311,0
1.123577,-17432.24407,0
-1.566599,-15262.17059,0
-9.169351,-16791.23686,0
1.725686,-17579.04455,0
-0.348178,-15773.3053,0
1.505701,-17056.68926,0
-0.000909,-18008.23793,0
-1.374881,-16428.04683,0
-1.00649,-16945.13794,0
0,-15312.53519,0
0.049765,-18433.8023,0
-0.438987,-14426.27879,0
0.443563,-17967.66376,0
2.116315,-14383.98053,1
0.833103,-16963.12544,1
0.891374,-14682.99465,0
0.346576,-16048.21651,0
0,-16667.27655,0
1.249384,-17458.66995,0
0,-18652.40588,1
-5.684856,-17549.27061,1
-2.810861,-16905.11589,0
-1.079827,-17081.95265,0
0.998771,-15317.12889,0
0.153803,-15000.785,0
0,-15572.56417,0
-8.950079,-15946.58859,1
-0.352425,-15364.2257,0
0,-16744.80356,0
1.271061,-16259.83797,0
-1.835207,-15330.60344,1
0,-16792.53485,0
0,-15983.19313,0
0,-16759.12659,0
-0.570561,-16724.799,0
0,-15690.54994,0
0,-17177.13784,0
0,-15276.22041,0
-3.622896,-15696.02001,1
0,-14096.16211,0
-13.074664,-15071.28147,0
1.636143,-14299.71082,0
-7.61263,-17250.03433,0
-4.431777,-15233.6982,1
0,-16315.75012,0
-2.078659,-15826.88321,1
0,-17162.81655,0
-3.70532,-15899.94861,0
0,-16426.22948,0
0,-16751.73393,0
0,-15478.78354,0
-0.729107,-16633.84922,0
-0.971484,-15330.03288,0
0.163959,-18002.29274,0
1.395776,-15227.69043,0
-0.869198,-15407.02679,0
2.020569,-15500.71654,0
0.754595,-15234.79131,0
0.718595,-15341.66883,0
0.051638,-17084.17703,0
3.259482,-16711.41732,0
-1.798564,-16885.04172,0
-0.178754,-16627.09062,1
-0.935568,-16760.68106,0
-0.239152,-17683.78866,0
-1.218652,-18249.28745,0
0.307168,-17491.20524,0
-0.050313,-15845.73255,0
0,-16678.09262,0
-2.442784,-16275.29334,0
0,-16128.5456,0
0,-17929.79643,0
0,-15368.01297,1
-1.130633,-15361.29064,1
-0.388815,-15910.47369,0
-3.211232,-14653.58222,0
-3.644553,-18337.54568,0
-0.404596,-17638.59679,0
0.376546,-15285.35217,1
0,-16652.3325,0
-0.278913,-14358.82569,0
-1.541713,-14846.24245,0
-0.866296,-15105.81913,1
-1.150744,-16886.74295,1
0.135825,-15664.75421,0
-3.954629,-16633.44977,1
-1.325847,-17095.66736,1
-0.437493,-16837.65378,0
-1.435332,-17646.5627,0
-0.578136,-15206.85678,0
0.620412,-15406.95351,0
-0.385875,-15653.81061,0
-4.101603,-16118.53487,0
-0.12714,-17360.94662,0
0,-14499.25766,0
0,-14322.79363,0
0.944003,-15270.5561,0
-0.192978,-15534.96648,0
0,-15435.02481,0
-2.418149,-17682.32188,1
0.287223,-17456.32342,0
-0.124768,-17048.32429,0
-0.733907,-16982.27557,0
-0.448755,-16237.65764,0
0.565271,-17309.69023,0
0.924504,-15849.83022,0
-0.309859,-17350.81603,0
-0.1074,-17228.46039,0
2.169057,-16806.89306,0
-0.983671,-15331.1713,1
-0.499971,-16649.79322,0
0,-16292.28534,0
-1.170359,-14339.613,0
-0.1454,-15429.38257,0
-0.456777,-18864.48853,0
1.523981,-22324.29392,0
1.918911,-15600.31349,1
1.524827,-16322.66346,0
0.803018,-17044.8344,0
0.319148,-15009.10294,0
2.224824,-16193.82887,0
-2.00237,-16240.83353,0
-0.231512,-18186.48391,0
0.5896,-16340.83101,0
-0.844007,-13871.00249,0
-0.088397,-15020.97418,0
0,-16146.42208,0
0,-15777.00487,0
2.591961,-15314.06705,0
0.434126,-17629.85902,1
-7.276192,-13888.0387,1
1.470543,-14803.35612,0
0.424462,-14404.35276,0
-1.349433,-15765.31275,0
0.452254,-16603.99292,0
0,-18050.74859,0
0.020644,-15204.54431,0
0,-15045.40668,0
-3.951733,-13622.30794,0
0,-15613.89935,1
-0.464692,-14706.91794,0
0.029289,-15200.44627,0
-2.939971,-17062.79463,1
1.428743,-17591.32035,0
1.391294,-16713.90326,0
0,-15295.1748,0
-1.123705,-15548.56893,1
1.89082,-17256.13085,0
0.608904,-15020.08968,0
0.346491,-15427.12386,0
0,-15802.73524,0
-0.476723,-15273.84404,0
4.83501,-15652.76666,0
0,-15723.1038,0
0,-14912.86127,0
0.850825,-13579.01183,0
-2.658168,-13818.73775,0
0.068566,-14116.96671,0
4.038638,-17140.22141,0
0.02485,-16548.53529,1
1.076834,-18507.92116,0
-0.178928,-16563.45494,0
-0.661456,-17373.18729,0
0.267013,-15260.57451,0
0.025017,-15697.50701,0
0.826675,-16709.5537,0
-0.347093,-17760.54718,0
0,-16865.26291,0
8.441032,-16226.18168,1
-0.325598,-16893.96275,0
-1.011599,-15594.67138,0
0.590631,-16521.69664,0
-0.049723,-16451.26269,0
0.541143,-16871.95805,0
0.659026,-16551.87503,0
2.635221,-15217.82418,0
4.397237,-16651.8281,0
0.583814,-17389.84417,0
1.408279,-17965.35603,0
-0.715612,-17142.38436,0
0.027282,-14836.94904,0
2.978008,-17194.46557,0
-1.120707,-16307.92796,0
0.506585,-16964.58421,0
0.520574,-14037.29596,0
2.462978,-15532.30461,0
0.107202,-15861.08275,0
0,-17602.86158,0
-0.398942,-15455.68164,1
0,-15332.10981,0
0,-15170.02447,0
-1.564587,-16833.15428,0
-0.182681,-17347.35459,0
-0.043048,-17702.49948,0
-0.152818,-14688.26903,0
1.94131,-16133.03221,0
0.16588,-15248.42077,1
-0.506954,-15907.78689,0
-2.361177,-15843.69878,0
0,-16515.31397,0
0,-16434.91195,0
-0.224733,-16545.7985,0
-1.315419,-15678.94151,0
0.279554,-15507.33468,0
-1.093133,-15765.00985,0
0,-15027.78456,0
0.152485,-14079.19054,0
0,-16938.61503,0
0.330489,-17010.76576,0
-0.459008,-15547.89889,0
1.090442,-15420.36843,0
-0.837549,-15175.05818,1
-1.256449,-17455.76837,0
0,-19420.65488,0
1.826381,-19267.93772,0
0.835683,-18572.01758,0
-1.247835,-17524.78018,0
-1.547943,-17203.15256,0
1.702837,-17542.33878,0
-0.646085,-16656.52142,0
-5.910955,-17082.52243,0
