DeltaSVMScore,Label
-2.775927,1
-0.277366,1
-0.887267,1
4.375293,1
-0.338714,1
-1.550037,1
1.953462,1
-0.073009,1
0.829025,1
-0.999837,1
-0.224538,1
0.230490,1
-0.864258,1
2.628259,1
0.208039,1
-2.477823,1
-0.128286,1
-0.695592,1
-3.594948,1
-0.923050,1
2.474157,1
0.643341,1
0.604197,1
4.972581,1
4.972581,1
-3.628640,1
-0.460276,1
-0.148286,1
-2.187213,1
-3.795716,1
2.720082,1
0.443702,1
-0.058394,1
2.741770,1
2.741770,1
-0.652982,1
0.140779,1
14.787351,1
-0.508849,1
0.095862,1
6.992027,1
6.992027,1
-0.521709,1
4.067640,1
-0.154921,1
-0.500942,1
1.088309,1
-1.890811,1
-11.501283,1
-4.033430,1
-1.020907,1
-1.389127,1
1.112550,1
-0.895986,1
0.172761,1
2.039826,1
0.403652,1
0.634139,1
0.148232,1
6.005696,1
6.005696,1
1.288589,1
0.433324,1
-0.941416,1
-1.742995,1
-0.159594,1
0.199315,1
0.733297,1
-1.839319,1
-0.437548,1
-0.539768,1
-10.835233,1
0.687397,1
0.334160,1
-0.787494,1
-0.787494,1
0.860750,1
-3.986111,1
-3.986111,1
-3.986111,1
-11.619178,1
-11.619178,1
0.683539,1
0.714648,1
-0.078469,1
0.348118,1
-0.471886,1
-3.873231,1
-1.948201,1
-1.186164,1
2.810986,1
-0.223780,1
8.757739,1
8.757739,1
-6.256827,1
-0.905508,1
-5.493884,1
-5.493884,1
-5.493884,1
0.516382,1
0.107343,1
0.979346,1
-0.124227,1
0.892688,1
-2.119360,1
0.347351,1
0.082237,1
-1.965954,1
0.718193,1
6.840031,1
0.344826,1
6.211718,1
6.211718,1
0.566385,1
-1.342916,1
-11.841779,1
-11.841779,1
-11.841779,1
0.412024,1
-4.125403,1
-4.125403,1
-0.248647,1
8.390147,1
8.390147,1
-0.786705,1
-0.440659,1
-1.352613,1
0.289631,1
1.402921,1
1.018230,1
-8.493429,1
0.006814,1
13.909872,1
13.909872,1
0.061678,1
7.471296,1
-0.433491,1
0.183339,1
-0.948313,1
-0.735423,1
-0.677877,1
0.301523,1
1.022239,1
0.173264,1
1.551817,1
0.276784,1
-1.085849,1
1.398704,1
4.626493,1
4.626493,1
2.265128,1
1.010012,1
1.821464,1
-2.705225,1
-1.529760,1
1.225891,1
1.225891,1
-1.889342,1
-1.889342,1
1.105957,1
-4.058215,1
-4.058215,1
2.738250,1
0.706398,1
0.706398,1
-6.884072,1
-6.884072,1
-1.775358,1
-0.728849,1
-4.184115,1
-1.215474,1
-0.464557,1
2.032537,1
0.352929,1
-0.148458,1
4.365767,1
4.365767,1
-0.224983,1
-2.845538,1
0.614078,1
-2.219837,1
-4.370719,1
-0.071926,1
-5.797972,1
-5.797972,1
4.503360,1
-3.971323,1
-3.971323,1
1.227926,1
1.188245,1
1.930936,1
0.497923,1
1.112472,1
1.124944,1
0.221659,1
-2.891942,1
0.677065,1
0.406024,1
0.932700,1
-4.575302,1
0.754311,1
0.446243,1
2.270507,1
0.552004,1
9.113550,1
-0.937943,1
1.546260,1
-0.753628,1
-6.344352,1
-2.887957,0
2.100773,0
-1.839305,0
-1.247835,0
-14.142410,1
0.000000,1
0.000000,0
-3.135593,1
0.000000,0
0.000000,0
-2.527269,0
0.000000,0
-5.731905,1
0.000000,0
1.645784,0
